No.,分类,曲名,创作者,谱面,BPM,版本,别名
1285,WORLD'S END,The Metaverse -First story of the SeelischTact-,光吉猛修 VS 目黒将司,WE 【光】☆☆☆,,,元宇宙|metaverse|小鸡鸡伸过来让我砸一下|the|元|meta
1284,ゲキマイ,アマツカミ,a_hisa,STD 3 | STD 6 | STD 11 | STD 14,180,SUN,
1283,イロドリミドリ,痛快リズムアクション「B.B.K.K.B.K.K.」,Sampling masters なる＆せりな feat.なでしこ,STD 4 | STD 6 | STD 10 | STD 14,180,SUN,彩绿bk
1282,niconico,マーシャル・マキシマイザー,柊マグネタイト feat.可不,STD 3 | STD 7 | STD 9+ | STD 13+,190,SUN,
1281,niconico,キャットラビング,香椎モイミ,STD 3 | STD 6 | STD 9+ | STD 12,163,SUN,
1280,niconico,群青讃歌,Eve / 初音ミク、星乃一歌、花里みのり、小豆沢こはね、天馬司、宵崎奏「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 2 | STD 6 | STD 9 | STD 12,168,SUN,pjsk|群青赞歌|赞歌
1279,niconico,Ready Steady,Giga / 初音ミク / Vivid BAD SQUAD「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 2 | STD 5 | STD 8+ | STD 13,115,SUN,pjsk
1278,niconico,ステラ,じん / 初音ミク / Leo/need「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 3 | STD 6 | STD 9+ | STD 13,197,SUN,stella
1277,ゲキマイ,絆はずっとGrowing Up!!!,曲：原田篤（Arte Refact）／歌：ASTERISM [星咲 あかり(CV：赤尾 ひかる)、藤沢 柚子(CV：久保田 梨沙)、三角 葵(CV：春野 杏)],STD 3 | STD 6 | STD 9 | STD 12,190,SUN,
1276,東方Project,三妖精SAY YA!!!,森羅万象,STD 3 | STD 6 | STD 9+ | STD 12,150,SUN,三妖精|sayya
1275,東方Project,全人類ノ非想天則,SOUND HOLIC feat. 匠眞,STD 3 | STD 6 | STD 9+ | STD 13,168,SUN,
1274,東方Project,お空のニュークリアフュージョン道場,ARM＋夕野ヨシミ (IOSYS) feat. 藤枝あかね,STD 3 | STD 5 | STD 9 | STD 13+,175,SUN,
1273,POPS & ANIME,irony,ClariS「俺の妹がこんなに可愛いわけがない。」,STD 2 | STD 5 | STD 8 | STD 11+,134,SUN,
1272,ゲキマイ,エータ・ベータ・イータ,ルゼ,STD 4 | STD 8+ | STD 12+ | STD 14+,186,SUN,蓝原椿|hera2|赫拉2|阿尔法|工一夕|蓝的椿
1271,イロドリミドリ,MAIGAHARA パンチラインキッカーズ,箱部 なる(CV:M・A・O)＆小野 美苗(CV:伊藤 美来),STD 3 | STD 5 | STD 9+ | STD 13,158,SUN,
1270,niconico,生きる,水野あつ,STD 1 | STD 5 | STD 8+ | STD 13,112,SUN,
1269,niconico,きゅうくらりん,いよわ,STD 3 | STD 7 | STD 10 | STD 13+,220,SUN,
1268,niconico,パラサイト,DECO*27,STD 2 | STD 5 | STD 9 | STD 12+,138,SUN,
1267,niconico,アニマル,DECO*27,STD 3 | STD 6 | STD 9+ | STD 13,188,SUN,animal
1266,niconico,シンデレラ,DECO*27,STD 2 | STD 6 | STD 8+ | STD 12,158,SUN,
1265,WORLD'S END,ENDYMION,fallen shepherd ft. RabbiTon Strings,WE 【招】☆☆☆☆,440,SUN,飞手|endy|飞龙交互
1264,WORLD'S END,さんさーら！,ARuFa,WE 【？】☆☆,,,
1263,WORLD'S END,創世のコンツェルティーナ,大嶋啓之,WE 【蔵】☆☆☆,,,创世
1262,ゲキマイ,"Ruler Count, Zero",曲：本多友紀（Arte Refact）／歌：R.B.P. [九條 楓(CV：佳村 はるか)、逢坂 茜(CV：大空 直美)、珠洲島 有栖(CV：長縄 まりあ)],STD 2 | STD 6 | STD 10+ | STD 13,133,SUN,
1261,ORIGINAL,恋するみたいに☆かませレッドヘルズ,コバヤシユウヤ（IOSYS） feat.miko,STD 3 | STD 6 | STD 10 | STD 12+,194,SUN,
1260,ORIGINAL,Fallin' Darlin' Rollin',ave;new feat.佐倉紗織,STD 3 | STD 6 | STD 9 | STD 13,202,SUN,
1259,ORIGINAL,†大闘士＝クライン・フォーゲル・シュピール＝えりか†,立秋 feat.ちょこ,STD 3 | STD 8+ | STD 12+ | STD 14+,200,SUN,大斗士
1258,ORIGINAL,任せてJC陰陽師☆八雲ちゃん,永倉秋斗 feat.キャサリン,STD 3 | STD 7 | STD 10 | STD 13,185,SUN,阴阳师
1257,VARIETY,Advance（CHUNITHM edit）,プロデュース：ワンダープラネット　作曲・編曲：加藤浩義（ノイジークローク）「クラッシュフィーバー」,STD 2 | STD 6 | STD 10 | STD 13+,140,SUN,
1256,niconico,マチガイサガシ,まふまふ「#コンパス」,STD 3 | STD 7+ | STD 9 | STD 12+,192,SUN,
1255,niconico,スティールユー,Omoi「#コンパス」,STD 3 | STD 6 | STD 9+ | STD 12+,190,SUN,
1254,niconico,孤独毒毒,syudou「#コンパス」,STD 3 | STD 5 | STD 9 | STD 12+,155,SUN,
1253,niconico,アイロニック,Kanaria「#コンパス」,STD 3 | STD 6 | STD 9+ | STD 13,198,SUN,
1252,niconico,アイ情劣等生,かいりきベア「#コンパス」,STD 3 | STD 5 | STD 10 | STD 13,199,SUN,爱情劣等生
1251,ゲキマイ,GRÄNDIR,Rigel Theatre feat. ミーウェル,STD 3 | STD 6 | STD 10+ | STD 13+,170,SUN,
1250,VARIETY,eden,"""漆黒""の堕天使《Gram》†Versus† ""聖刻""の熾天使《Gram》「WACCA」",STD 4 | STD 8 | STD 13 | STD 15,246,SUN,eden|老大|牢大|伊甸
1249,VARIETY,Exitium,Laur「WACCA」,STD 4 | STD 8+ | STD 13 | STD 14+,260,SUN,破坏王|未鸟AJ
1248,VARIETY,ADAM,P*Light「WACCA」,STD 3 | STD 7+ | STD 11 | STD 14,200,SUN,干什么！
1247,VARIETY,Knight Rider,USAO「WACCA」,STD 3 | STD 9 | STD 12+ | STD 14,200,SUN,骑骑
1246,VARIETY,Let you DIVE!,HARDCORE TANO*C & エリザベス（CV:大西沙織）「WACCA」,STD 3 | STD 7 | STD 9 | STD 12,185,SUN,
1245,ゲキマイ,ヒストリー×ブレイカー,曲：中土智博／歌：⊿TRiEDGE [高瀬 梨緒(CV：久保 ユリカ)、結城 莉玖(CV：朝日奈 丸佳)、藍原 椿(CV：橋本 ちなみ)],STD 2 | STD 5 | STD 9+ | STD 13,134,SUN,
1244,ORIGINAL,4月1日でございました,Cranky,STD 4 | STD 8+ | STD 11 | STD 14+,41,SUN,愚人节|41|4月1日|屎|地雷|四月一|三月七
1243,ゲキマイ,Desperado Waltz,ぺのれり,STD 4 | STD 9+ | STD 13 | STD 14+,172,SUN,华尔兹|地雷
1242,ゲキマイ,Viyella's Scream,Laur,STD 4 | STD 9 | STD 13+ | STD 15,228,SUN,维也纳尖叫|尖叫|维也拉尖叫
1241,イロドリミドリ,新世界スターター,小仏 凪(CV:佐倉 薫)＆五十嵐 撫子(CV:花井 美春),STD 3 | STD 6 | STD 9 | STD 12+,188,SUN,
1240,POPS & ANIME,がんばれ！蜘蛛子さんのテーマ,「私」(CV：悠木碧）「蜘蛛ですが、なにか？」,STD 4 | STD 7 | STD 10+ | STD 14,190,,
1239,POPS & ANIME,Van!shment Th!s World,Black Raison d'être「中二病でも恋がしたい！戀」,STD 3 | STD 5 | STD 9+ | STD 12,167,,中二病|小鸟游六花|六花|邪王真眼|中二病也要谈恋爱|我老婆
1238,POPS & ANIME,INSIDE IDENTITY,Black Raison d'être「中二病でも恋がしたい！」,STD 3 | STD 6 | STD 9+ | STD 12+,186,,
1237,POPS & ANIME,レッド・ルーラー,ドーラ × sasakure.UK,STD 3 | STD 7 | STD 11 | STD 13+,144,SUN,
1236,VARIETY,田中,立秋 feat.ちょこ,STD 4 | STD 7+ | STD 11 | STD 14+,186,SUN,屎|神曲神谱
1235,東方Project,Armageddon,LeaF,STD 4 | STD 8+ | STD 13 | STD 15,210,SUN,切菜|世界末日|世界末白|阿玛戈登|世界mobi|核弹|arma|阿空|核爆
1234,東方Project,Mami Mami Zone,REDALiCE feat. 野宮あゆみ,STD 3 | STD 5 | STD 9 | STD 13,173,SUN,
1233,東方Project,デザイアシューティング,あ～るの～と,STD 2 | STD 5 | STD 8+ | STD 11+,158,SUN,
1232,東方Project,Revived,UNDEAD CORPORATION,STD 3 | STD 7+ | STD 10+ | STD 14,290,SUN,
1231,ORIGINAL,グラウンドスライダー協奏曲第一番「風唄」,削除,STD 4 | STD 8 | STD 14 | STD 15+,165,SUN,风呗|傻呗
1230,WORLD'S END,Random,Sobrem × Silentroom,WE 【分】☆☆☆,132,SUN,随机|random
1229,WORLD'S END,Random,Sobrem × Silentroom,WE 【分】☆☆☆,132,SUN,随机|random
1228,WORLD'S END,Random,Sobrem × Silentroom,WE 【分】☆☆☆,132,SUN,随机|random
1227,WORLD'S END,Random,Sobrem × Silentroom,WE 【分】☆☆☆,132,SUN,随机|random
1226,WORLD'S END,Random,Sobrem × Silentroom,WE 【分】☆☆☆,132,SUN,随机|random
1225,WORLD'S END,Random,Sobrem × Silentroom,WE 【分】☆☆☆,132,SUN,随机|random
1224,WORLD'S END,まっすぐ→→→ストリーム！,曲：本多友紀（Arte Refact）／歌：日向 千夏(CV：岡咲 美保),WE 【狂】☆☆,184,SUN,千夏火箭
1223,WORLD'S END,Baqeela,owl＊tree,WE 【撃】☆☆☆,,,
1222,WORLD'S END,FIRE BIRD,Roselia「バンドリ！ ガールズバンドパーティ！」,WE 【招】☆,,,火鸟|烧鸡
1221,POPS & ANIME,Burn My Soul,She is Legend「ヘブンバーンズレッド」,STD 3 | STD 5 | STD 9 | STD 12+,180,,
1220,ゲキマイ,Girl's Party Planet!,曲：山本恭平（Arte Refact）／歌：桜井 春菜(CV：近藤 玲奈)、早乙女 彩華(CV：中島 唯)、井之原 小星(CV：ももの はるな)、柏木 咲姫(CV：石見 舞菜香),STD 2 | STD 5 | STD 9 | STD 11+,100,SUN,
1219,ORIGINAL,One Room Sky,MonsterZ MATE,STD 3 | STD 6 | STD 11 | STD 13+,170,SUN,
1218,ORIGINAL,Cheat Sheet,Yaca × gaburyu,STD 3 | STD 6 | STD 10+ | STD 13+,168,SUN,
1217,ORIGINAL,Re:Credits,BOOGEY VOXX feat.IURA TOI,STD 2 | STD 5 | STD 10 | STD 13+,132,SUN,
1216,ORIGINAL,Crawler / Flyer,MaiR,STD 3 | STD 5 | STD 10+ | STD 13+,184,SUN,
1215,ORIGINAL,CELERITAS,山本真央樹,STD 4 | STD 8+ | STD 11+ | STD 14+,190,SUN,
1214,ORIGINAL,ガチ恋ラビリンス,森羅万象,STD 4 | STD 7 | STD 10+ | STD 14,213,SUN,
1213,ORIGINAL,推してもダメならひいてみな！,桃井はるこ,STD 3 | STD 7 | STD 9+ | STD 12+,192,SUN,
1212,ORIGINAL,Ignition,パソコン音楽クラブ,STD 4 | STD 6 | STD 10+ | STD 13+,160,SUN,点燃
1211,ORIGINAL,クリーパー,遼遼 feat.あじっこ,STD 1 | STD 5 | STD 9+ | STD 11+,96,SUN,
1210,ORIGINAL,インパアフェクシオン・ホワイトガアル,ツミキ feat.月乃,STD 3 | STD 6 | STD 10+ | STD 14,207,SUN,不完美白色女孩|积木月乃|imperfection|冴川芽依|霸道总裁爱上我|紫毛读书|imperfection white girl
1209,ゲキマイ,ミラージュ・フレイグランス,Sound piercer “Espitz”,STD 4 | STD 8+ | STD 12 | STD 14,158,SUN,
1208,ゲキマイ,Falsum Atlantis.,kanone,STD 4 | STD 7+ | STD 13 | STD 15,160,SUN,亚特兰蒂斯|娜英|香草|faded|胃癌又闹|刹那|老婆
1207,ゲキマイ,TEmPTaTiON,かねこちはる,STD 4 | STD 8 | STD 13+ | STD 15,160,SUN,诱惑|百合咲|肘击百合咲|temptation|man|曼巴|temp
1206,ゲキマイ,アンビバレンス,すりぃ×相沢,STD 4 | STD 7 | STD 10+ | STD 12+,187,SUN,
1205,イロドリミドリ,超Rock The Party,舞ヶ原シンセ研究会,STD 3 | STD 6 | STD 10 | STD 13,155,SUN,
1204,VARIETY,Random,Sobrem × Silentroom,STD 3 | STD 6 | STD 10 | STD 14,132,SUN,随机|random
1203,VARIETY,I'm so Happy,Ryu☆,STD 4 | STD 8+ | STD 12+ | STD 13+,181,SUN,我巨爽
1202,東方Project,スカーレット警察のゲットーパトロール24時,七条レタスグループ,STD 3 | STD 5 | STD 9 | STD 13+,160,SUN,
1201,niconico,トンデモワンダーズ,sasakure.UK,STD 3 | STD 6 | STD 11 | STD 13+,172,SUN,
1200,niconico,神っぽいな,ピノキオピー,STD 2 | STD 5 | STD 9+ | STD 12+,142,SUN,像神
1199,niconico,キュートなカノジョ,syudou　feat.音楽的同位体　可不（KAFU）,STD 3 | STD 6 | STD 9 | STD 13,160,SUN,
1198,POPS & ANIME,いただきバベル (Prod. ケンモチヒデフミ),黒鉄たま (CV: 秋奈)「電音部」,STD 3 | STD 6 | STD 10 | STD 13,142,SUN,
1197,POPS & ANIME,ユメヲカケル！,スペシャルウィーク (CV.和氣あず未)、サイレンススズカ (CV.高野麻里佳)、トウカイテイオー(CV.Machico)、ウオッカ (CV.大橋彩香)、ダイワスカーレット (CV.木村千咲)、ゴールドシップ (CV.上田 瞳)、メジロマックイーン (CV.大西沙織)／TVアニメ『ウマ娘 プリティーダービー Season 2』,STD 3 | STD 6 | STD 9+ | STD 12+,195,,
1196,POPS & ANIME,なにやってもうまくいかない,meiyo,STD 2 | STD 5 | STD 9+ | STD 12+,125,,
1195,POPS & ANIME,阿修羅ちゃん,Ado,STD 3 | STD 5 | STD 9 | STD 13,156,,阿修罗
1194,POPS & ANIME,ミックスナッツ,Official髭男dism TVアニメ『SPY×FAMILY』オープニング主題歌,STD 2 | STD 5 | STD 9 | STD 13,300,,
1193,POPS & ANIME,Before I Rise,麻枝 准×やなぎなぎ「ヘブンバーンズレッド」,STD 2 | STD 5 | STD 8+ | STD 11+,140,,
1192,POPS & ANIME,1,MOB CHOIR「モブサイコ100 Ⅲ」,STD 3 | STD 5 | STD 10 | STD 13,168,,
1191,ゲキマイ,まっすぐ→→→ストリーム！,曲：本多友紀（Arte Refact）／歌：日向 千夏(CV：岡咲 美保),STD 3 | STD 6 | STD 9 | STD 13,184,CHUNITHM NEW,千夏火箭
1190,VARIETY,Aleph-0,LeaF,STD 6 | STD 9+ | STD 13+ | STD 14+ | STD 15,250,SUN,阿列夫|阿列夫0|aleph|琪露诺|AJ没鸟|AJ没鸟加|数学课堂|a0|臀萌金曲
1189,VARIETY,Reach For The Stars,ソニック カラーズ,STD 3 | STD 6 | STD 9+ | STD 13 | STD 13+,203,CHUNITHM,追星
1188,niconico,The secret garden,Project DIVA Original Song feat.初音ミク,STD 2 | STD 5 | STD 8+ | STD 12,133,CHUNITHM NEW PLUS,秘密花园
1187,niconico,ぽっぴっぽー,ラマーズP,STD 3 | STD 5 | STD 9+ | STD 13+,150,CHUNITHM NEW PLUS,蔬菜歌|蔬菜汁
1186,niconico,マージナル,OSTER project,STD 3 | STD 6 | STD 9 | STD 12+,190,CHUNITHM NEW PLUS,
1185,niconico,崩壊歌姫 -disruptive diva-,マチゲリータ,STD 3 | STD 6 | STD 10 | STD 13+,170,CHUNITHM NEW PLUS,崩坏歌姬
1184,niconico,Starduster,ジミーサムP,STD 1 | STD 4 | STD 7+ | STD 10+,82,CHUNITHM NEW PLUS,老婆|刹那
1183,niconico,多重未来のカルテット -Quartet Theme-,Kusemono/SWANTONE,STD 3 | STD 5 | STD 9+ | STD 13+,150,CHUNITHM NEW PLUS,多重未来
1182,ゲキマイ,Transcend Lights,曲：小高光太郎／歌：オンゲキシューターズ,STD 1 | STD 6 | STD 9+ | STD 12,105,CHUNITHM NEW PLUS,114514|超越光|九月的雨
1181,POPS & ANIME,恋ひ恋ふ縁,KOTOKO,STD 2 | STD 5 | STD 8 | STD 11+,144,CHUNITHM NEW PLUS,恋恋缘|以恋结缘|柚子厨|芳乃|老婆|朝武芳乃
1180,POPS & ANIME,非実在系女子達はどうすりゃいいですか？,綾瀬理恵,STD 2 | STD 6 | STD 9 | STD 13,158,CHUNITHM NEW PLUS,
1179,POPS & ANIME,Rumbling hearts,栗林みな実,STD 2 | STD 5 | STD 8 | STD 11+,136,,
1178,POPS & ANIME,キルミーのベイベー！,やすなとソーニャ「キルミーベイベー」,STD 3 | STD 5 | STD 11 | STD 14,200,CHUNITHM NEW PLUS,
1177,ORIGINAL,DA'AT -The First Seeker of Souls-,水野健治 VS 大国奏音,STD 5 | STD 12 | STD 14 | STD 15+,222,CHUNITHM NEW PLUS,大特|daat|sensei
1176,ORIGINAL,MALKUTH -The Last Ruler of Terrestrials-,穴山大輔 VS 光吉猛修,STD 5 | STD 12 | STD 14+ | STD 15+,197,CHUNITHM NEW PLUS,王国|马尔库斯|ma|🐴|马|吗喽哭天喊|业善二代目|马哭死
1175,VARIETY,ホーリーサンバランド,SAMBA MASTER 佐藤,STD 3 | STD 6 | STD 13 | STD 15,150,CHUNITHM NEW PLUS,白桑巴|桑巴|理财产品
1174,ゲキマイ,AstrøNotes.,MisoilePunch♪,STD 4 | STD 8 | STD 13+ | STD 14+,210,CHUNITHM NEW PLUS,雅迪|astronotes|astronote|老婆
1173,WORLD'S END,Love & Justice,BACO,WE 【狂】☆☆☆☆☆,,,唉症噫|爱正义|爱与正义|哎症臆|癌症一|唉症臆
1172,WORLD'S END,Aragami,xi,WE 【光】☆,,,荒神|ara
1171,WORLD'S END,]-[|/34<#!,並木学（ナミキマナブ）「怒首領蜂大復活」,WE 【跳】☆☆☆☆,,,怒蜂|蜂|怒首领蜂|乱码歌|绯蜂|noob|乱码|牢蜂
1170,WORLD'S END,ダブルラリアット,アゴアニキ,WE 【割】☆,,,转圈歌
1169,ゲキマイ,GODLINESS,曲：椿山日南子／歌：皇城 セツナ(CV：八巻 アンナ),STD 3 | STD 7 | STD 10+ | STD 14,183,CHUNITHM NEW PLUS,刹那|老婆|godliness|皇城刹那
1168,ゲキマイ,最っ高のエンタメだ!!,曲：本田正樹(Dream Monster)／歌：7EVENDAYS⇔HOLIDAYS [井之原 小星(CV：ももの はるな)、柏木 咲姫(CV：石見 舞菜香)],STD 3 | STD 6 | STD 10+ | STD 13,276,CHUNITHM NEW PLUS,
1167,ゲキマイ,Y.Y.Y.計画!!!!,曲：烏屋茶房／歌：R.B.P. [九條 楓(CV：佳村 はるか)、逢坂 茜(CV：大空 直美)、珠洲島 有栖(CV：長縄 まりあ)],STD 3 | STD 6 | STD 9+ | STD 12+,186,CHUNITHM NEW PLUS,YYY
1166,ゲキマイ,ポケットからぬりつぶせ！,曲：中山真斗／歌：マーチングポケッツ [日向 千夏(CV：岡咲 美保)、柏木 美亜(CV：和氣 あず未)、東雲 つむぎ(CV：和泉 風花)],STD 2 | STD 5 | STD 10 | STD 11+,126,CHUNITHM NEW PLUS,
1165,POPS & ANIME,僕の戦争,神聖かまってちゃん「進撃の巨人」,STD 2 | STD 5 | STD 9 | STD 12+,144,CHUNITHM NEW PLUS,我的战争
1164,ORIGINAL,Λzure Vixen,かめりあ,STD 4 | STD 8+ | STD 13+ | STD 15+,163,CHUNITHM NEW PLUS,av|高塔|azurevixen|老公|azure vixen|理财产品|失控银河
1163,ORIGINAL,Brightness,Masayoshi Iimori,STD 3 | STD 6 | STD 12 | STD 14,160,CHUNITHM NEW PLUS,
1162,ORIGINAL,WE'RE BACK!!,Zekk,STD 3 | STD 7 | STD 12+ | STD 14+,185,CHUNITHM NEW PLUS,我们回来了|老公
1161,ORIGINAL,#SUP3RORBITAL,ああ…翡翠茶漬け…,STD 4 | STD 7+ | STD 12 | STD 14+,210,CHUNITHM NEW PLUS,龙脸|superorbital|理财产品
1160,ゲキマイ,QZKago Requiem,t+pazolite,STD 5 | STD 8+ | STD 13+ | STD 15,257,CHUNITHM NEW PLUS,茄子|🍆💳🐶|qz|🍆|雅迪|茄子卡狗|黑猫打白猫|gdp2|毒牛奶|巧克力大战香子兰|铃芽之旅|猫打架|牛奶2|对立大战光光|猫中毒
1159,イロドリミドリ,帰り道,イロドリミドリ,STD 2 | STD 5 | STD 8+ | STD 10+,116,CHUNITHM NEW PLUS,回家路
1158,ゲキマイ,Splash Dance!!,曲：Q-MHz／歌：オンゲキシューターズ,STD 3 | STD 6 | STD 9+ | STD 12,155,CHUNITHM NEW PLUS,
1157,POPS & ANIME,失礼しますが、RIP♡,Mori Calliope（ホロライブEnglish）,STD 3 | STD 5 | STD 10 | STD 13+,124,,
1156,POPS & ANIME,過去を喰らう,花譜,STD 3 | STD 5 | STD 9+ | STD 12+,187,CHUNITHM NEW PLUS,吞噬过去
1155,POPS & ANIME,ハッピーエンドをはじめから,リゼ・ヘルエスタ,STD 3 | STD 6 | STD 10 | STD 12,206,CHUNITHM NEW PLUS,
1154,POPS & ANIME,地獄屋八丁荒らし,戌亥とこ,STD 2 | STD 6 | STD 8 | STD 12,202,CHUNITHM NEW PLUS,
1153,POPS & ANIME,3倍！Sun Shine！カーニバル！,アンジュ・カトリーナ、戌亥とこ、リゼ・ヘルエスタ,STD 2 | STD 5 | STD 9 | STD 11+,142,CHUNITHM NEW PLUS,
1152,ゲキマイ,Last Kingdom,USAO,STD 4 | STD 8 | STD 11 | STD 14,150,CHUNITHM NEW PLUS,最后王国|lk
1151,イロドリミドリ,色彩過剰のダイアリーミュージック,イロドリミドリ,STD 4 | STD 8 | STD 11 | STD 14+,136,CHUNITHM NEW PLUS,色彩过剩
1150,イロドリミドリ,僕らのFreedom DiVE↓,三年生チーム(イロドリミドリ),STD 4 | STD 7 | STD 10 | STD 14,204,CHUNITHM NEW PLUS,彩绿fd|我的fd
1149,VARIETY,Re：End of a Dream,uma vs. モリモリあつし,STD 4 | STD 8 | STD 13 | STD 15,212,CHUNITHM NEW PLUS,终梦|reendofadream|end of a dream|re end
1148,POPS & ANIME,めいど・うぃず・どらごんず♥,スーパーちょろゴンず「小林さんちのメイドラゴンS」,STD 2 | STD 5 | STD 9+ | STD 11+,140,,
1147,POPS & ANIME,愛のシュプリーム！,fhána「小林さんちのメイドラゴンS」,STD 2 | STD 5 | STD 9 | STD 12,135,,
1146,WORLD'S END,ラグトレイン,稲葉曇,WE 【両】☆☆,147,CHUNITHM NEW PLUS,延误列车
1145,WORLD'S END,アルストロメリア,TAG,WE 【蔵】☆☆☆☆,,,alstroemeria|六出花
1144,WORLD'S END,Elemental Ethnic,Yooh,WE 【止】☆☆,,,狗叫机关枪|香草|老公|元素民族
1143,POPS & ANIME,BlackFlagBreaker!!,社築 × sasakure.UK,STD 3 | STD 7+ | STD 10+ | STD 14,163,CHUNITHM NEW PLUS,社筑
1142,niconico,フォニイ,ツミキ,STD 3 | STD 5 | STD 9+ | STD 12+,170,CHUNITHM NEW PLUS,phony|伪物
1141,niconico,吉原ラメント,亜沙,STD 3 | STD 5 | STD 9 | STD 12,192,CHUNITHM NEW PLUS,吉原哀歌|吉原拉面
1140,niconico,泥の分際で私だけの大切を奪おうだなんて,ツユ,STD 3 | STD 6 | STD 10 | STD 13,225,,泥歌
1139,niconico,あの世行きのバスに乗ってさらば。,ツユ,STD 3 | STD 6 | STD 9+ | STD 12+,240,,地雷男|男刀
1138,niconico,くらべられっ子,ツユ,STD 3 | STD 5 | STD 9 | STD 12+,194,,被比较的孩子|男刀|地雷男
1137,WORLD'S END,XL TECHNO -More Dance Remix-,from PACA PACA PASSION Special,WE 【割】☆☆☆☆,,,特大
1136,WORLD'S END,きゅうりバーにダイブ,ゆずひこ feat.めらみぽっぷ,WE 【光】☆,,,黄瓜
1135,WORLD'S END,宙の隣,くるぶっこちゃん,WE 【？】☆☆☆,,,宙之邻
1134,WORLD'S END,音弾超人ゴリライザー,ゴリライザー制作委員会,WE 【狂】☆☆☆,,,音弹超人
1133,WORLD'S END,裏表ラバーズ,wowaka,WE 【招】☆☆☆,,,里表情人
1132,WORLD'S END,董卓討つべし,おもしろ三国志,WE 【覚】☆☆,,,董卓
1131,WORLD'S END,《本能》 ～ ReCoda,Spiegel vs Yukino,WE 【半】☆☆☆,,,本能
1130,WORLD'S END,Trrricksters!!,s-don vs. 翡乃イスカ,WE 【狂】☆☆☆☆☆,,,雅迪|难|trickstar|！|!|trickster|1秒15.4|trrr|地雷|二见鸟
1129,WORLD'S END,Trackless wilderness,Noah,WE 【狂】☆☆☆☆,217,CHUNITHM NEW,tracklesswilderness|无轨狂暴|狂暴键盘|tw|无轨荒原
1128,WORLD'S END,砂漠のハンティングガール♡,海田 明里,WE 【弾】☆☆☆,,,沙漠
1127,WORLD'S END,タテマエと本心の大乱闘,曲：鯨井国家／歌：藍原 椿(CV：橋本 ちなみ),WE 【撃】☆☆,,,大乱斗|椿批金曲|蓝原椿
1126,WORLD'S END,真千年女王,しらいし,WE 【半】☆☆☆,,,
1125,WORLD'S END,U ARE,MK&Kanae Asaba,WE 【両】☆☆,,,你是
1124,WORLD'S END,お願いマッスル,紗倉ひびき（CV:ファイルーズあい）＆街雄鳴造（CV:石川界人）「ダンベル何キロ持てる？」,WE 【割】☆☆☆,,,
1123,WORLD'S END,もってけ!セーラーふく,泉こなた（CV.平野 綾）、柊かがみ（CV.加藤英美里）、柊つかさ（CV.福原香織）、高良みゆき（CV.遠藤 綾）「らき☆すた」,WE 【止】☆☆☆,,,
1122,WORLD'S END,Nijirate Fanatics,yukitani,WE 【？】☆☆☆,210,CHUNITHM NEW,
